prof_id,week_day,hour_begin,hour_end,level,note,constraint
2,Fri,12:30,13:30,undesired,,"not (Fri, [12:30,13:30])"
2,Fri,18:30,19:30,impossible,,"NOT (Fri, [18:30,19:30])"
2,Mon,12:30,13:30,undesired,,"not (Mon, [12:30,13:30])"
2,Mon,18:30,19:30,undesired,,"not (Mon, [18:30,19:30])"
2,Thu,12:30,13:30,undesired,,"not (Thu, [12:30,13:30])"
2,Thu,18:30,19:30,impossible,,"NOT (Thu, [18:30,19:30])"
2,Tue,12:30,13:30,undesired,,"not (Tue, [12:30,13:30])"
2,Tue,18:30,19:30,undesired,,"not (Tue, [18:30,19:30])"
2,Wed,12:30,13:30,undesired,,"not (Wed, [12:30,13:30])"
2,Wed,18:30,19:30,undesired,,"not (Wed, [18:30,19:30])"
3,Fri,17:30,18:30,impossible,,"NOT (Fri, [17:30,18:30])"
3,Fri,18:30,19:30,impossible,,"NOT (Fri, [18:30,19:30])"
3,Mon,17:30,18:30,undesired,,"not (Mon, [17:30,18:30])"
3,Mon,18:30,19:30,undesired,,"not (Mon, [18:30,19:30])"
3,Thu,17:30,18:30,undesired,,"not (Thu, [17:30,18:30])"
3,Thu,18:30,19:30,undesired,,"not (Thu, [18:30,19:30])"
3,Tue,17:30,18:30,undesired,,"not (Tue, [17:30,18:30])"
3,Tue,18:30,19:30,undesired,,"not (Tue, [18:30,19:30])"
3,Wed,17:30,18:30,undesired,,"not (Wed, [17:30,18:30])"
3,Wed,18:30,19:30,undesired,,"not (Wed, [18:30,19:30])"
4,Mon,10:30,11:30,undesired,,"not (Mon, [10:30,11:30])"
4,Mon,11:30,12:30,undesired,,"not (Mon, [11:30,12:30])"
4,Mon,12:30,13:30,undesired,,"not (Mon, [12:30,13:30])"
4,Mon,13:30,14:30,undesired,,"not (Mon, [13:30,14:30])"
4,Mon,14:30,15:30,undesired,,"not (Mon, [14:30,15:30])"
4,Mon,15:30,16:30,undesired,,"not (Mon, [15:30,16:30])"
4,Mon,16:30,17:30,undesired,,"not (Mon, [16:30,17:30])"
4,Mon,8:30,9:30,undesired,,"not (Mon, [8:30,9:30])"
4,Mon,9:30,10:30,undesired,,"not (Mon, [9:30,10:30])"
5,Fri,17:30,18:30,undesired,,"not (Fri, [17:30,18:30])"
5,Fri,18:30,19:30,undesired,,"not (Fri, [18:30,19:30])"
5,Fri,8:30,9:30,undesired,,"not (Fri, [8:30,9:30])"
5,Fri,9:30,10:30,undesired,,"not (Fri, [9:30,10:30])"
5,Mon,10:30,11:30,undesired,,"not (Mon, [10:30,11:30])"
5,Mon,8:30,09:30,impossible,,"NOT (Mon, [8:30,09:30])"
5,Mon,9:30,10:30,undesired,,"not (Mon, [9:30,10:30])"
5,Thu,18:30,19:30,undesired,,"not (Thu, [18:30,19:30])"
5,Wed,17:30,18:30,undesired,,"not (Wed, [17:30,18:30])"
5,Wed,18:30,19:30,impossible,,"NOT (Wed, [18:30,19:30])"
6,Tue,10:30,11:30,undesired,,"not (Tue, [10:30,11:30])"
6,Tue,11:30,12:30,undesired,,"not (Tue, [11:30,12:30])"
6,Tue,12:30,13:30,impossible,,"NOT (Tue, [12:30,13:30])"
6,Tue,8:30,9:30,undesired,,"not (Tue, [8:30,9:30])"
6,Tue,9:30,10:30,undesired,,"not (Tue, [9:30,10:30])"
6,Wed,10:30,11:30,undesired,,"not (Wed, [10:30,11:30])"
6,Wed,11:30,12:30,undesired,,"not (Wed, [11:30,12:30])"
6,Wed,12:30,13:30,impossible,,"NOT (Wed, [12:30,13:30])"
6,Wed,8:30,9:30,undesired,,"not (Wed, [8:30,9:30])"
6,Wed,9:30,10:30,undesired,,"not (Wed, [9:30,10:30])"
7,Fri,18:30,19:30,undesired,,"not (Fri, [18:30,19:30])"
7,Fri,8:30,09:30,undesired,,"not (Fri, [8:30,09:30])"
7,Mon,18:30,19:30,impossible,,"NOT (Mon, [18:30,19:30])"
7,Mon,8:30,09:30,undesired,,"not (Mon, [8:30,09:30])"
7,Thu,18:30,19:30,undesired,,"not (Thu, [18:30,19:30])"
7,Thu,8:30,09:30,undesired,,"not (Thu, [8:30,09:30])"
7,Tue,18:30,19:30,impossible,,"NOT (Tue, [18:30,19:30])"
7,Tue,8:30,09:30,undesired,,"not (Tue, [8:30,09:30])"
7,Wed,18:30,19:30,undesired,,"not (Wed, [18:30,19:30])"
7,Wed,8:30,09:30,undesired,,"not (Wed, [8:30,09:30])"
8,Fri,13:30,14:30,undesired,,"not (Fri, [13:30,14:30])"
8,Fri,14:30,15:30,undesired,,"not (Fri, [14:30,15:30])"
8,Mon,13:30,14:30,undesired,,"not (Mon, [13:30,14:30])"
8,Mon,14:30,15:30,undesired,,"not (Mon, [14:30,15:30])"
8,Thu,13:30,14:30,undesired,,"not (Thu, [13:30,14:30])"
8,Thu,14:30,15:30,undesired,,"not (Thu, [14:30,15:30])"
8,Tue,13:30,14:30,undesired,,"not (Tue, [13:30,14:30])"
8,Tue,14:30,15:30,undesired,,"not (Tue, [14:30,15:30])"
8,Wed,13:30,14:30,impossible,,"NOT (Wed, [13:30,14:30])"
8,Wed,14:30,15:30,impossible,,"NOT (Wed, [14:30,15:30])"
9,Fri,18:30,19:30,impossible,,"NOT (Fri, [18:30,19:30])"
9,Fri,8:30,09:30,undesired,,"not (Fri, [8:30,09:30])"
9,Mon,18:30,19:30,undesired,,"not (Mon, [18:30,19:30])"
9,Mon,8:30,09:30,impossible,,"NOT (Mon, [8:30,09:30])"
9,Thu,18:30,19:30,undesired,,"not (Thu, [18:30,19:30])"
9,Thu,8:30,09:30,undesired,,"not (Thu, [8:30,09:30])"
9,Tue,18:30,19:30,undesired,,"not (Tue, [18:30,19:30])"
9,Tue,8:30,09:30,undesired,,"not (Tue, [8:30,09:30])"
9,Wed,18:30,19:30,undesired,,"not (Wed, [18:30,19:30])"
9,Wed,8:30,09:30,undesired,,"not (Wed, [8:30,09:30])"
10,Fri,10:30,11:30,undesired,,"not (Fri, [10:30,11:30])"
10,Fri,11:30,12:30,undesired,,"not (Fri, [11:30,12:30])"
10,Mon,10:30,11:30,undesired,,"not (Mon, [10:30,11:30])"
10,Mon,11:30,12:30,undesired,,"not (Mon, [11:30,12:30])"
10,Mon,8:30,9:30,impossible,,"NOT (Mon, [8:30,9:30])"
10,Mon,9:30,10:30,impossible,,"NOT (Mon, [9:30,10:30])"
10,Tue,10:30,11:30,undesired,,"not (Tue, [10:30,11:30])"
10,Tue,11:30,12:30,undesired,,"not (Tue, [11:30,12:30])"
10,Wed,10:30,11:30,undesired,,"not (Wed, [10:30,11:30])"
10,Wed,11:30,12:30,undesired,,"not (Wed, [11:30,12:30])"
11,Fri,15:30,16:30,undesired,,"not (Fri, [15:30,16:30])"
11,Fri,16:30,17:30,undesired,,"not (Fri, [16:30,17:30])"
11,Fri,17:30,18:30,undesired,,"not (Fri, [17:30,18:30])"
11,Fri,18:30,19:30,undesired,,"not (Fri, [18:30,19:30])"
11,Mon,17:30,18:30,undesired,,"not (Mon, [17:30,18:30])"
11,Mon,18:30,19:30,impossible,,"NOT (Mon, [18:30,19:30])"
11,Thu,17:30,18:30,undesired,,"not (Thu, [17:30,18:30])"
11,Thu,18:30,19:30,undesired,,"not (Thu, [18:30,19:30])"
11,Wed,17:30,18:30,undesired,,"not (Wed, [17:30,18:30])"
11,Wed,18:30,19:30,impossible,,"NOT (Wed, [18:30,19:30])"
12,Fri,15:30,16:30,undesired,,"not (Fri, [15:30,16:30])"
12,Fri,17:30,18:30,undesired,,"not (Fri, [17:30,18:30])"
12,Fri,18:30,19:30,impossible,,"NOT (Fri, [18:30,19:30])"
12,Mon,10:30,11:30,undesired,,"not (Mon, [10:30,11:30])"
12,Mon,8:30,09:30,impossible,,"NOT (Mon, [8:30,09:30])"
12,Mon,9:30,10:30,undesired,,"not (Mon, [9:30,10:30])"
13,Fri,8:30,09:30,undesired,,"not (Fri, [8:30,09:30])"
13,Mon,16:30,17:30,undesired,,"not (Mon, [16:30,17:30])"
13,Mon,8:30,09:30,undesired,,"not (Mon, [8:30,09:30])"
13,Thu,8:30,09:30,undesired,,"not (Thu, [8:30,09:30])"
13,Tue,8:30,09:30,undesired,,"not (Tue, [8:30,09:30])"
13,Wed,8:30,09:30,undesired,,"not (Wed, [8:30,09:30])"
14,Mon,10:30,11:30,undesired,,"not (Mon, [10:30,11:30])"
14,Mon,11:30,12:30,undesired,,"not (Mon, [11:30,12:30])"
14,Mon,14:30,15:30,undesired,,"not (Mon, [14:30,15:30])"
14,Thu,10:30,11:30,impossible,,"NOT (Thu, [10:30,11:30])"
14,Thu,11:30,12:30,impossible,,"NOT (Thu, [11:30,12:30])"
14,Thu,14:30,15:30,undesired,,"not (Thu, [14:30,15:30])"
14,Tue,10:30,11:30,undesired,,"not (Tue, [10:30,11:30])"
14,Tue,11:30,12:30,undesired,,"not (Tue, [11:30,12:30])"
14,Wed,10:30,11:30,undesired,,"not (Wed, [10:30,11:30])"
14,Wed,11:30,12:30,undesired,,"not (Wed, [11:30,12:30])"
15,Fri,17:30,18:30,impossible,,"NOT (Fri, [17:30,18:30])"
15,Fri,18:30,19:30,impossible,,"NOT (Fri, [18:30,19:30])"
15,Mon,17:30,18:30,undesired,,"not (Mon, [17:30,18:30])"
15,Mon,18:30,19:30,undesired,,"not (Mon, [18:30,19:30])"
15,Thu,17:30,18:30,undesired,,"not (Thu, [17:30,18:30])"
15,Thu,18:30,19:30,undesired,,"not (Thu, [18:30,19:30])"
15,Tue,17:30,18:30,undesired,,"not (Tue, [17:30,18:30])"
15,Tue,18:30,19:30,undesired,,"not (Tue, [18:30,19:30])"
